2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  신한글로벌액티브리츠 ,481850,2845,0,0.0,2845,2850,153251,2825,2825,435
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  에이치브이엠 ,295310,11570,430,3.8,11140,11940,247004,10980,10940,2843
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  팡스카이 ,266350,1131,31,2.8,1100,1264,807,1080,1046,1
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엔에이치스팩31호 ,481890,2020,20,1.0,2000,2780,22967359,2700,2000,53327
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  SK증권제13호스팩  ,473950,2080,15,0.7,2065,2085,1247212,2065,2060,2578
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  엑셀세라퓨틱스 ,373110,6630,230,3.5,6400,7090,1857702,6450,6430,12599
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이베스트스팩6호 ,478110,2050,5,0.2,2045,2050,151059,2045,2040,309
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  시프트업 ,462870,65900,500,-0.7,66400,67000,801132,65800,63000,52255
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  하스 ,450330,13510,"2,200",19.0,11310,14380,4195957,11410,11350,56026
년월일,회사명,종목코드,현재가,변동금액,변동률,전일,고가,거래량,시가,저가,거래대금
2024-07-28,  이노스페이스 ,462350,24750,550,2.2,24200,25150,74007,24200,23650,1812
